CODEBUCH,,,,,,,,,,,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",,,,,,,,,,,Erhebungszeitraum: 
,,,,,,,,,,,seit 2000
Wert,Kommentar,,,,,,,,,,
edgelist,,,,,,,,,,,
from,definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist,,,,,,,,,,
to ,definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist.,,,,,,,,,,
relationship,definiert die Art der Beziehung; 1=Zusammenarbeit in Filmen/Serien; 2=gemeinsame agentur; 3=private Freundschaft/Verwandtschaft; 4=gemeinsames Video; 5=Sonstiges,,,,,,,,,,
,,,,,,,,,,,
nodelist,,,,,,,,,,,
id,"eindeutige Identifikation jedes einzelnen Knotens; ein Wort, keine Sonderzeichen",,,,,,,,,,
name,vollständiger Namen des Akteurs,,,,,,,Stand: 13.09.,,,
sex,male=1 oder female=2,,,,,,,,,,
type ,Person=1; Film/Serie/Theater=2; Agentur=3; Projekt/Sonstiges=4,,,,,,,,,,
job title,Schauspieler*in=1; Regisseur*in=2; beides=3,,,,,,,,,,
films,definiert die  Anzahl der gespielten Filme/Serien ohne Theater,,,Skala 0-20=1; 21-35=2; 36-49=3; 50-99=4; über 100=5,,,,,,,
video,Ist der Beitrag zu #allesdichtmachen des Akteurs noch offline oder wurde zurückgezogen. 1=online; 2=offline,,,,,,,,,,
range,"definiert die Reichweite der Akteure, bezogen auf die Aufrufe ihres YouTube-Beitrags zu #allesdichtmachen",,,,,,Skala <100.000=1; 100.000-300.000=2; 300.001-500.000=3; >500.000=4,,,,
home,aktueller Wohnort des Akteurs 1 = Berlin; 2 = Hamburg; 3 = Wien; 4 = München; 5 = Stuttgart; 6 = Potsdam; 7 = Recklinghausen; 8 = Luxemburg; 9 = Köln,,,,,,,,,,
